RA,TURMA
11202130889,NB1ESTA014-17SA
11006016,NAESTE033-17SA
11202231878,NB1BCL0306-15SB
11202231878,NC1ESTO013-17SB
11202231878,NAESHR007-21SB
11202231878,NANHZ2111-18SB
11202210059,DA1BHQ0002-15SA
11201921152,NA2MCTA007-17SA
11201921152,NA1ESTO015-17SA
11201921152,NA1NHT3037-13SA
21019014,NANHH2033-18SB
11202231558,DB1BIQ0602-15SB
11202231558,DB3BCJ0205-15SB
11202231558,DA1ESTO005-17SB
11202231558,DB2BCM0505-22SB
11110715,NA1NHZ4028-15SA
11110715,DA1NHT4057-15SA
11202131192,DB2BCJ0205-15SB
11202131192,DA2BCM0505-22SB
11202131192,DB1BCS0002-15SB
11202130070,DA1ESHC008-21SB
11202130070,DA1ESHC038-17SB
11202130070,DA1ESHC028-17SB
11202130070,DB1BCN0407-15SB
